Product Name,Old Price,New Price
Acer TravelMate P278 Core-i5-6th Gen 8 GB RAM 256 GB SSD 17.3″ Display,45000,47734
Apple MacBook  Pro A1989 2019 Core-i5 16 GB RAM 512 GB SSD 13.3″ Display,175000,178177
Acer q5wph Aspire Intel Pentium 4 GB RAM 500 GB HDD 15.6″ Display,15000,18537
Acer TravelmateP259-G2-M Core-i5-7th Gen 8 GB RAM 256 GB SSD 15.6″ Display,39999,46987
Apple Macbook 13 Air 2020 M1 8GB RAM 256GB SSD 13″ Display,180000,185984
"Apple MacBook Pro 2013 Core-i7 16 GB RAM 256 GB SSD Retina, 1GB Graphics Card 13″ Display Late",64999,67046
Apple Macbook Pro 2012 Core-i7 16GB RAM 240GB SSD 13.3″ Silver Color Display Mid,50000,57818
Apple MacBook Air A1932 2018 Core-i5 16GB RAM 500GB SSD 4GB Graphics Card Retina 13.3″ Display (Space Gray),169999,176139
Acer q5wph Aspire Intel Pentium 4 GB RAM 500 GB HDD 15.6″ Display,15000,22505
Acer Nitro 5 AN515-51 Core-i5-7th Gen 7300HQ 16 GB RAM 256 GB SSD NVIDIA GeForce GTX 1050 4 GB CARD 15.6″ Display,109999,116811
"Apple MacBook Air (M2, 2022) 8GB RAM 256GB SSD 13.6″ Display",200000,205381
Apple Macbook 13 Air 2020 M1 8GB RAM 256GB SSD 13″ Display,180000,184403
Apple MacBook Pro 2019 A2141 Core-i9 32 GB RAM 512 GB SSD AMD Radeon Pro 5500M 8GB Graphics Card 16″ Display,259999,266673
Acer Predator Helios 300 Core-i7-10th Gen 16GB RAM 512GB SSD NVIDIA RTX 2060 6GB Graphics Card 15.6″ Display,179999,183833
Acer TravelmateP259-G2-M Core-i5-7th Gen 8 GB RAM 256 GB SSD 15.6″ Display,39999,43684
Acer Nitro V 15 ANV15 INTEL Core-i7-13th Gen 13620H 16GB RAM 512GB SSD 6GB NVIDIA GeForce RTX 4050 144Hz WINDOWS 11 15.6″ FHD Display,295000,297561
Acer Aspire E5-575G  Core-i5-6th Gen 8GB RAM 256GB SSD 15.6″ Display,34999,39081
Acer aspire 5733 Core-i3-1st Gen 4GB RAM 250GB HDD 15.6″ Display,12999,15161
Apple MacBook Pro 2017 Core-i7 16GB RAM 500GB SSD Radeon Pro 560 4GB Graphics Card 16″ Display,229999,235860
"Apple MacBook Pro 2013 Core-i7 16 GB RAM 256 GB SSD Retina, 1GB Graphics Card 13″ Display Late",64999,67917
Apple MacBook Pro 2016 Core-i7 16GB RAM 500GB SSD 13″ Display Space Gray,119999,122499
