title,old_price,new_price,decrease_amount
"ASUS ROG Strix G16 G614JV - Raptor Lake - 13th Gen Core i7 13650HX Processor 8GB 1-TB SSD 8-GB NVIDIA GeForce RTX4060 GDDR6 GC 16"" WUXGA FHD 165Hz G-Sync Display RGB Backlit KB DolbyAtmos Sound (Eclipse Grey, New)",392606,389065,3541
"ASUS TUF F15 FX507VU Gaming Laptop - 13th Generation Core i7 13620H Processor 16GB 512GB SSD 6GB Nvidia RTX4050 GDDR6 GC 15.6"" Full HD 1080p RGB Backlit KB (Gray, 2 Year Asus Direct Local Warranty)",322500,320061,2439
"ASUS VivoBook Pro 15 M6500XU - AMD Ryzen 9 7940HS Octa Core Processor 16-GB 1-TB SSD 6-GB NVIDIA GeForce RTX4050 GDDR6 GC 15.6"" Full HD 1080p IPS 144Hz Display Backlit KB HarmonKardon (Quiet Blue, Military Grade, 2 Years ASUS Direct Local Warranty, NEW)",322500,319032,3468
"Acer Predator Helios Neo 16 Gaming Notebook - Raptor Lake - 14th Gen Core i9-14900HX 24-Cores Processor 16-GB 1-TB SSD 8-GB NVIDIA GeForce RTX4060 GDDR6 GC 16"" WUXGA IPS Slim Bezel 165Hz NVIDIA G-Sync Display 4-Zones RGB BKB W11 (Abyssal Black, NEW)",385000,381889,3111
"Asus ExpertBook 15 B1502CB - Alder Lake - 12th Gen Core i5 1235u Processor 8-GB 512-GB SSD Intel Iris Xe Graphics 15.6"" Full HD 1080p AG Display Backlit KB FP Reader (Bag & Mouse Included, Black, Asus Direct Local Warranty)",140000,136023,3977
"Asus TUF F16 FX607JV Gaming Laptop - Raptor Lake - 13th Gen Ci7 13650HX Processor 16-GB 512-GB SSD 8-GB NVIDIA GeForce RTX4060 GDDR6 GC 16"" WUXGA 1200p IPS 165Hz G-Sync Display DolbyAtmos 1-Zone RGB BKB (Mecha Grey, 2 Years ASUS Direct Local Warranty)",379718,375489,4229
"Asus TUF F17 FX707VV Gaming Laptop - Raptor Lake - 13th Gen Ci7 13620H Processor 16-GB 512-GB SSD 8-GB NVIDIA GeForce RTX4060 GDDR6 GC 17.3"" Full HD 1080p IPS 144Hz G-Sync Display DolbyAtmos 1-Zone RGB BKB (Mecha Grey, 2 Years ASUS Direct Local Warranty)",377500,374915,2585
"DELL Vostro 15 3520 Laptop - Alder Lake - 12th Gen Core i3 Processor 8-GB to 32GB 512-GB to 2-TB SSD Intel Integrated Graphics 15.6"" Full HD 1080p 250nits Narrow Border Display TPM2.0 (Carbon Black, NEW)",99999,97328,2671
"HP 15 FD0131wm - Alder Lake N - Intel Core i3 N305 (8-Core) Processor 8-GB to 32-GB 256-GB to 2-TB SSD Intel UHD GC 15.6"" Full HD 1080p IPS 300nits Display FP Reader W11 (Natural Silver, NEW)",102900,100141,2759
"HP Dragonfly G4 13.5"" Notebook PC - Raptor Lake - 13th Gen Core i5 1345U Processor 16-GB 256-GB SSD Intel Iris Xe Graphics 13.5"" WUXGA+ 1280p UWVA BV 1000nits Touchscreen HP Sureview Privacy Display B&O Play Backlit KB FPR TPM (Slate Blue, Open Box)",179999,177212,2787
"HP ENVY x360 2-in-1 Laptop PC 14 ES1013dx - Intel Core 5 120U Processor 8-GB 512-GB SSD Intel Integrated Graphics 14” Full HD 1080p IPS MicroEdge Touchscreen Convertible Display PolyStudio Audio Backlit KB FPR W11 (Natural Silver, NEW)",168224,163728,4496
"HP EliteBook 640 G10 Notebook PC - Raptor Lake - 13th Gen Core i5 1335u Deca-Core Processor 8-GB 256-GB SSD Intel Iris Xe Graphics 14"" Full HD 1080p IPS Narrow Bezel AG Display Backlit KB FP Reader (Pike Silver, Open Box)",157500,154498,3002
"HP EliteBook 640 G10 Notebook PC - Raptor Lake - 13th Gen Core i7-1370P Tetradeca-core (14 Core) Processor 8-GB 256-GB SSD Intel Iris Xe Graphics 14"" Full HD 1080p IPS Narrow Bezel AG Display Backlit KB FP Reader W11 (Pike Silver, Open Box)",205414,202756,2658
"HP EliteBook 840 G10 - Raptor Lake - 13th Gen Core i7 1365u Processor 8-GB 512-GB SSD Intel UHD GC 14"" WUXGA 1200p UWVA Narrow Bezel Display B&O Play Backlit KB FP Reader W11 Pro (Silver, Open Box)",204999,200735,4264
"HP Envy 16 H1008TX - Raptor Lake - 13th Gen Core i5 13500HX (16 Core) Processor 16GB 512GB SSD 4-GB Intel Arc A370M GDDR6 GC 16"" WQXGA 1600p 120Hz Display B&O Backlit KB TPM W11 (Natural Silver, HP Direct Local Warranty)",385143,382333,2810
"HP Envy 2 in 1 14"" FC0023dx - Intel Core Ultra 7 155U Processor 16-GB 1-TB SSD Intel Integrated Graphics 14"" WUXGA 1200p IPS MicroEdge Touchscreen Convertible Display PolyStudio Audio Backlit KB W11 (Meteor Silver, NEW)",238459,235259,3200
