title,old_price,new_price,increase_amount
ASUS G752VS Core-i7 6th Gen 16 GB RAM 512 GB SSD 960 2GB Graphics Card 17.3″ Display,104449,107922,3473
ASUS K535V-SX126V  Intel® Core™ i5 -2410M 2nd Gen 4GB RAM 500GB HDD NVIDIA® GeForce® GT 540M 1GB Graphics Card 15.6″ Display,29664,37423,7759
ASUS VivoBook X202E Core-i5-3rd Gen 4GB RAM 250GB HDD 11.6″ Display,24587,30727,6140
Acer Aspire 17 8943 Core-i5-1st Gen 4GB RAM 500GB HDD 1GB AMD 5000 Graphics Card 17″ Display,19916,22785,2869
Acer Aspire E5-575G  Core-i5-6th Gen 8GB RAM 256GB SSD 15.6″ Display,33380,39895,6515
Acer Nitro 5 AN515-51 Core-i5-7th Gen 7300HQ 16 GB RAM 256 GB SSD NVIDIA GeForce GTX 1050 4 GB CARD 15.6″ Display,118769,123865,5096
Acer TravelMate P278 Core-i5-6th Gen 8 GB RAM 256 GB SSD 17.3″ Display,53370,60462,7092
Apple MacBook  Pro A1989 2019 Core-i5 16 GB RAM 512 GB SSD 13.3″ Display,186407,189601,3194
"Apple MacBook Air (M2, 2022) 8GB RAM 256GB SSD 13.6″ Display",213257,216997,3740
Apple MacBook Air 2020 Core-i3 8GB RAM 256GB SSD 13.3″ Display Space Gray,111598,115475,3877
Apple MacBook Air MC7U4 M2 8-Core Chip 16GB RAM 256GB SSD 13.6″ Liquid Retina Display M2 8-Core GPU Touch ID Space Gray (1Year International Warranty),267333,273255,5922
Apple MacBook Air MC8G4 M3 8-Core Chip 16GB RAM 256GB SSD 13.6″ Liquid Retina IPS LED Display 8-Core GPU Touch ID Space Gray (1 Year International Warranty),307582,313113,5531
Apple MacBook Air MC8K4 M3 8-Core Chip 16GB RAM 256GB SSD 13.6″ Liquid Retina IPS LED Display 8-Core GPU Midnight (1 Year International Warranty) (On Order),306070,313054,6984
Apple MacBook Air MGN63 M1 8-Core Chip 8GB RAM 256GB SSD 13.3″ Liquid Retina IPS LED Display 7-Core GPU Touch ID Space grey  (1 Year International Warranty),216595,224438,7843
Apple MacBook Air MLY13 M2 8-Core Chip 8GB RAM 256GB SSD 13.6″ Liquid Retina IPS LED Display 8-Core GPU Touch ID Starlight (1 Year International Warranty) (On Order),249891,255288,5397
Apple MacBook Air MLY33 M2 8-Core Chip 8GB RAM 256GB SSD 13.6″ Liquid Retina IPS LED Display  8-Core GPU Midnight  (1 Year International Warranty) (On Order),264110,269132,5022
Apple MacBook Air MRXN3 M3 8-Core Chip 8GB RAM 256GB SSD 13.6″ Liquid Retina IPS LED Display 8-Core GPU Touch ID Space Grey (1 Year International Warranty) (On Order),285022,288723,3701
Apple MacBook Air MRXV3 M3 8-Core Chip 8GB RAM 256GB SSD 13.6″ Liquid Retina IPS LED Display 8-Core GPU Touch ID  Midnight  (1 Year International Warranty) (On Order),279232,282342,3110
Apple MacBook Air MXCR3 M3 (2024) 8-Core Chip 16GB RAM 512GB SSD 13.6 Liquid Retina Display 10-Core GPU Space Grey (1 Year International Warranty),375000,379664,4664
Apple MacBook Air MXCV3 (2024) M3 8-Core Chip 16GB RAM 512GB SSD 13.6″ Liquid Retina Display 10-Core GPU Touch ID Midnight (1 Year International Warranty) (On Order),381060,387020,5960
"Apple MacBook Pro 2013 Core-i7 16 GB RAM 256 GB SSD Retina, 1GB Graphics Card 13″ Display Late",72685,80501,7816
Apple MacBook Pro 2016 Core-i7 16GB RAM 500GB SSD 13″ Display Space Gray,122374,130294,7920
Apple MacBook Pro 2019 Core-i9 32 GB RAM 1 TB SSD 4 GB Radeon Pro 555X Touch Bar15″ Display,258646,260744,2098
"Apple MacBook Pro A1398 2014 Core-i7 16GB RAM 256GB SSD NVIDIA GeForce GT 750M 2GB Retina, 16″ Display Mid",78400,84217,5817
Apple MacBook Pro A1708 2017 Core-i5 8 GB RAM 256 GB SSD 13.3″ Display,80685,84626,3941
Apple MacBook Pro A2141 2019 Core-i9 16 GB RAM 1TB SSD Radeon Pro Vega 16 4GB Card 16″ Display,242201,245526,3325
Apple MacBook Pro MPHG3 M2 Max 12-Core Chip (2023) 32GB RAM 1TB SSD 14″ Liquid Retina XDR Display 30-Core GPU Touch ID Space Gray (1 Year International Warranty),775838,781674,5836
Apple MacBook Pro MW2U3 Apple M4 Chip 16GB RAM 512GB SSD Liquid Retina XDR 14″ Display Space Black,495869,501829,5960
Apple MacBook Pro MW2V3 M4 10-Core Chip 16GB RAM 1TB SSD 14″ Liquid Retina XDR display 10-Core GPU Space Black (1 Year International Warranty) (On Order),495000,500936,5936
Apple MacBook Pro MX2F3 M4 Pro 14-Core Chip 24 GB RAM 1TB SSD 14″ Liquid Retina XDR display 20-Core GPU Silver (1 Year International Warranty) (On Order),697481,700872,3391
Apple MacBook Pro MX2J3 M4 Pro 14-Core Chip 24GB RAM 1TB SSD 14″ Liquid Retina XDR display 20-Core GPU Space Black (1 Year International Warranty) (On Order),686888,694740,7852
Apple MacBook Pro Z174001X7 M2 Max 12-Core Chip (2023) 96GB RAM 2TB SSD 16″ Liquid Retina XDR Display 38-Core GPU Touch ID Space Grey (1 Year International Warranty),1260000,1262970,2970
Apple Macbook Pro 2012 Core-i7 16GB RAM 240GB SSD 13.3″ Silver Color Display Mid,55243,61741,6498
Asus A5305V Core-i5-2nd Gen 8GB RAM 256GB SSD 1GB GT 540M Graphics Card 15.6″ Display,31987,34232,2245
Asus ROG GL552VW-FI485T Core-i7-6th GEN 16 GB RAM 256 GB SSD 2 GB Card GEFORCE GTX 960M 15.6″ Display,93085,95462,2377
Bran New! Dell Latitude 5540 Core-i7-13th Gen 1370P 16GB RAM 512GB SSD 2GB Graphics Card MX550 15.6″ Display (Official Card Warranty),384293,390605,6312
Brand New! ASUS TUF Gaming A16 FA608WV-RL055W AMD Ryzen AI 9 HX370 32GB RAM DDR5 1TB Nvme M.2 Nvidia GeForce RTX 4060 8GB Graphics Card 16.0″ Display RGB B/L KB WIN 11 GREY (2 Year International Warranty),541792,549381,7589
Brand New! ASUS TUF Gaming F15 FX507VI-LP062 Intel Core-i7-13620H 13th Gen 16GB RAM DDR5 1TB SSD Nvme M.2 Nvidia GeForce RTX 4070 8GB Graphics Card 15.6″ Display RGB B/L KB DOS GREY (2 Year Official Warranty),397000,401790,4790
Brand New! ASUS TUF Gaming F15 FX507VU-LP150 Intel Core-i7-13620H 13th Gen 16GB RAM DDR5 512GB SSD Nvme M.2 Nvidia GeForce RTX 4050 8GB Graphics Card 15.6″ FHD Display RGB B/L KB DOS GREY (2 Year Official Warranty),331960,334484,2524
Brand New! ASUS TUF Gaming F17 FX707VU-HX175 Intel Core-i7-13620H 13th Gen 16GB RAM DDR5 512GB SSD Nvme M.2 Nvidia GeForce RTX 4050 8GB Graphics Card 17.3″ Display RGB B/L KB DOS GREY (2 Year Official Warranty),346654,353959,7305
Brand New! ASUS TUF Gaming F17 FX707VV-HX451 Intel Core-i7-13620H 13th Gen 16GB RAM DDR5 512GB SSD Nvme M.2 Nvidia RTX 4060 8GB Graphics Card 17.3″ Display RGB B/L KB DOS GREY (2 Year Official Warranty),377901,380968,3067
Brand New! Acer Nitro V 15 ANV15-51-95FB Gaming Laptop Core-i9-13th Gen 13900H 16GB RAM DDR5 512GB SSD NVIDIA RTX 4060 8GB Graphic Card 15.6″ FHD IPS 144Hz  Win 11 (1 Year Official Card Warranty) ( Limited Stock),331803,339414,7611
"Brand New! Acer Predator Helios 16 PH16-72-97T1 Gaming Laptop Core-i9-14th Gen 14900HX 32GB RAM DDR5 1TB SSD NVIDIA RTX 4080 12GB Graphics Card 16″ WQXGA IPS 240Hz, Win 11 (2 Year Official Warranty) ( On Order)",721933,724022,2089
Brand New! Acer Predator Helios 16 PHN16-72-97FL Gaming Laptop Core-i9-14th Gen 14900HX 16GB RAM DDR5 1TB SSD NVIDIA RTX 4060 8GB Graphics Card 16″ WQXGA IPS 240Hz Win 11 (2 Year Official Warranty),428911,434891,5980
"Brand New! Acer Predator Triton Neo 16 PTN16-51-96GK Gaming Laptop Ultra 9-185H, 32GB RAM DDR5 1TB SSD NVIDIA RTX 4060 8GB Graphics Card 16″ WQXGA IPS 240Hz, Win 11 (2 Year Official Warranty)",460552,464743,4191
"Brand New! Asus ROG Strix G16 G614JV Gaming Laptop Core-i9-14th Gen 14900HX 16GB RAM 1TB SSD NVIDIA RTX 4060 8GB Graphics Card 16″ IPS QHD+ 240Hz, BACKLIT KEYBOARD  WINDOWS 11 (1 Year International Warranty)",529444,534145,4701
Brand New! Asus TUF Gaming F15 FX507VV-LP299 Intel Core-i7-13620H 13th Gen 16GB RAM DDR5 512GB SSD Nvme M.2 Nvidia GeForce RTX 4060 8GB Graphics Card 15.6″ FHD Display RGB B/L KB DOS GREY (2 Year Official Warranty),360105,366240,6135
Brand New! Asus TUF Gaming FX707VV-HX199 Intel Core-i7-13620H 13th Gen 16GB RAM DDR5 512GB SSD Nvme M.2 Nvidia GeForce RTX 4060 8GB Graphics Card 17.3″ Display RGB B/L KB DOS GREY (2 Year Official Warranty),375167,378003,2836
Brand New! Dell G15 5530 Gaming Laptop Core-i7-13th Gen 13650HX 16GB RAM 1TB SSD NVIDIA RTX 4060 8GB Graphics Card 15.6″FHD 165Hz W11 BLK (1 Year International Warranty) ( On Order),335517,342425,6908
Brand New! Dell Inspiron 3530 Intel Core-i5-13th Gen 8GB RAM 512GB SSD 15.6″FHD DOS (1 Year Official Card Warranty),147138,150589,3451
Brand New! Dell XPS 9640 Laptop Intel Core Ultra 7 Processor 155H 16GB LPDDR5x 512GB SSD M.2 NVIDIA GeForce RTX 4050 6GB Graphics Card Backlit Keyboard Fingerprint Reader Windows 11 Pro 16.3″ FHD Display (1 Year International Warranty),463711,468618,4907
Brand New! HP 15-DY5885wm Intel Core-i5 12th Gen 8GB RAM 256GB SSD 15.6″ FHD LED Display (1 year International Warranty),122973,129717,6744
Brand New! HP 15-FD0371NIA Intel Core-i7-1355U 13th-Gen 8GB RAM 512GB SSD 15.6″FHD  DOS (1 Year International Warranty),179679,185215,5536
Brand New! HP 15s FQ5318TU Core-i5-12th Gen 8GB RAM 512GB SSD 15.6″ Display (1 year International Warranty),159382,164265,4883
Brand New! HP EliteBook 640 G10 Intel Core- i5-1355U 13th-Gen 8GB RAM 512GB SSD FPR BL/KB DOS 14″FHD Display (1Year International Warranty),208708,216682,7974
"Brand New! HP Envy X360 2-in-1 14-FC0023DX Laptop Intel Core Ultra 7 155U 16GB RAM 1TB SSD 14″ WUXGA IPS Touch Screen, Windows 11 Home, ENGLISH KEYBOARD METEOR SILVER (1 Year International Warranty)",254689,259064,4375
Brand New! HP Omen 16-AE0073CL Gaming Laptop Core-i7-14th Gen 14650HX 32GB RAM 1TB SSD NVIDIA RTX 4060 8GB Graphics Card 16.1″FHD 144Hz W11 SILVER (1 Year International Warranty),367428,370429,3001
Brand New! HP Pavilion x360 2-in-1 Laptop 14-EK0073DX Core-i5-12th Gen 8 GB RAM 512 GB SSD Touchscreen 14″ Display (1 year International Warranty),182640,189413,6773
"Brand New! HP ProBook 440 G11 Intel® Core™ Ultra 5 Processor 125U 8GB DDR5 Ram, 512GB SSD NVMe Backlit Keyboard 14″ WUXGA IPS Display (1 Year International Warranty)",207771,213825,6054
"Brand New! HP Spectre X360 14-EU0059TU Intel Core Ultra 7-155H 16GB RAM DDR5 512GB SSD 14″ Diagonal, 2.8K OLED Touchscreen Display Nightfall Black Window 11 (1 Year Local Card Warranty)",418000,423282,5282
Brand New! HP Spectre x360 F2013DX Intel Core-i7-13700H 13th-Gen 16GB RAM 512GB SSD 16” 3K+IPS Touch Screen Display  W11 PEN (1 Year International Warranty),338511,341861,3350
Brand New! Lenovo ThinkPad E16 Gen 1 Core i7-1355U 8GB ram 512GB SSD  Intel Iris Xe Graphics 16″ screen display ( 1 Year International Warranty ),249760,254391,4631
Brand New! Lenovo ThinkPad E16 Gen 2 Intel Core Ultra 5-125U 8GB RAM 512GB SSD 16″ WUXGA BL/KB (1 Year International Warranty),231969,234674,2705
Brand New! Lenovo v15 G3 IAP Core i5 12th Gen 8GB RAM 512GB SSD 15.6″ FHD Display (Box Pack with 1 Year International Warranty),156123,160270,4147
"Brand! HP Envy X360 14-FA0023DX AMD Ryzen 7-8840HS 16GB RAM 1TB SSD AMD Radeon Graphics 14.1″ WUXGA IPS Touch Screen, Windows 11 Home,  Backlit KB, Glacier Silver (1 Year International Warranty)",228665,235036,6371
DELL Latitude 3350 Core-i5-5th Gen 8GB RAM 256GB SSD 13.3″ Display,40117,42786,2669
DELL Latitude 5270 Core-i7 6th Gen 8GB RAM 256GB SSD 12″ Display,34999,41334,6335
DELL Latitude 5491 Core-i7-8th Gen 8GB RAM 256GB SSD Nvidia GeForce MX130 2GB Graphics Card 14″ Display,77644,80155,2511
DELL Latitude 5580 Core-i5-7th Gen 8GB RAM 256GB SSD Nvidia GeForce 930MX 2GB Graphics Card 15.6″ Display,50000,56262,6262
DELL Latitude 5580 Intel® Core™ i3-7100U 7th Gen 8GB RAM 256GB SSD 15.6″ Display,48840,55650,6810
DELL Precision 7510 Core-i7-6th Gen 16 GB RAM 256 GB SSD NVIDIA QUADRO M2000M 4GB CARD 15″ Display,81090,83090,2000
