title,old_price,new_price,increase_amount
"ASUS TUF F15 FX507VI Gaming Laptop - Intel Core i7-13620H 16GB DDR5 1TB SSD NVIDIA GeForce RTX 4070 8GB GDDR6 Backlit KB 15.6"" FHD IPS 144Hz Display Windows 11 - Mecha Grey",347900,352839,4939
"ASUS TUF F15 FX507VI Gaming Laptop - Intel Core i7-13620H 16GB DDR5 1TB SSD, NVIDIA GeForce RTX 4060 8GB GDDR6, 15.6"" FHD IPS 144Hz, Windows 11",329990,336040,6050
"ASUS TUF GAMING F15 FX507 Laptop | Intel Core i7-13620H 16GB DDR5 1TB SSD - NVIDIA GeForce RTX 4060 8GB GDDR6 - 15.6"" FHD IPS 144Hz Backlit KB",325000,332319,7319
"ASUS VivoBook F1504 Laptop | Intel Core i5-1235U | 8GB DDR4 | 256GB SSD | Intel Iris Xe Graphics | 15.6"" FHD Display | Windows 11| Quiet Blue",121900,127214,5314
"ASUS Vivobook 15 X1504VA-NJ816 Laptop | Intel Core i3-1315U 4GB 512GB 15.6"" FHD Display - Quiet Blue (Official Warranty)",109990,116341,6351
"ASUS Vivobook S 16 Flip OLED TP3604VA Laptop | Midnight Black - Intel Core i5-1335U 8GB 512GB 16"" WUXGA IPS Touchscreen x360",182000,185891,3891
"ASUS Zenbook 14 OLED Q415MA Business Touchscreen Laptop | Intel Core Ultra 5 Processor 125H, 8GB DDR5, 512GB SSD, Backlit KB, 14"" FHD OLED 0.2ms HDR 100% DCI-P3, Windows 11, Jasper Gray",169990,176913,6923
"ASUS Zenbook 14 OLED Q425MA Touchscreen Laptop | Intel Core Ultra 7 155H 16GB LPDDR5X 1TB PCIe SSD Backlit KB 14"" FHD OLED Display",246990,249115,2125
"Acer Nitro V 15 ANV15-51-50FA Gaming Laptop | Intel Core i5-13420H 16GB DDR5 Memory 512GB SSD NVIDIA RTX 3050 6GB Graphics 15.6"" FHD IPS 165Hz Display Windows 11 | Black (Official Warranty)",204900,210125,5225
"Acer Nitro V 15 ANV15-51-510Z Gaming Laptop 13th Gen Core i5-13420H, 16GB DDR5, 512GB SSD, NVIDIA RTX 4050 6GB Graphics, 15.6"" FHD IPS 165Hz, Windows 11 Home (Official Warranty)",230000,236714,6714
"Acer Predator Helios Neo 16 PHN16-72-99PA Gaming Laptop - Intel Core i9-14900HX 16GB DDR5 1TB SSD NVIDIA GeForce RTX 4060 8GB 16"" WUXGA 165Hz IPS Display - Abyssal Black - Windows 11 - NH.QQXAA.002",377990,381400,3410
"Apple 13"" MacBook Air (M4, Sky Blue) MC6T4 - Apple M4 10-Core Chip 16GB 256GB 8-Core GPU",330000,337403,7403
"Apple MacBook Air 13"" Laptop | Apple M3 8-Core Chip 16GB 256GB SSD 8-Core GPU, 13.6"" Display | Midnight MC8K4",314000,318120,4120
