Product Name,Old Price,New Price
"Acer q5wph Aspire Intel Pentium 4 GB RAM 500 GB HDD 15.6"" Display",18490,15143
"Acer Aspire E5-575G Core-i5-6th Gen 8GB RAM 256GB SSD 15.6"" Display",34999,30323
"Apple MacBook Pro 2018 A1990 Core-i7 16GB RAM 500GB SSD Radeon Pro 555X 4GB Card 16"" Display",169999,165339
"Apple Macbook 13 Air 2020 M1 8GB RAM 256GB SSD 13"" Display",180000,175183
"Apple MacBook Pro 2017 Core-i7 16 GB RAM 256 GB SSD 2 GB AMD Radeon Pro 560 15"" Display",145000,142812
"Apple MacBook Pro 2015 Core-i5 8GB RAM 256GB SSD 13"" Retina Display",89880,87762
"Apple MacBook Pro 2013 Core-i7 16 GB RAM 256 GB SSD Retina, 1GB Graphics Card 13"" Display Late",68852,65990
"Apple MacBook Air (M2, 2022) 8GB RAM 256GB SSD 13.6"" Display",204191,201636
"Acer Aspire 17 8943 Core-i5-1st Gen 4GB RAM 500GB HDD 1GB AMD 5000 Graphics Card 17"" Display",14999,12387
"Acer TravelmateP259-G2-M Core-i5-7th Gen 8 GB RAM 256 GB SSD 15.6"" Display",39999,35523
"Acer TravelMate P278 Core-i5-6th Gen 8 GB RAM 256 GB SSD 17.3"" Display",45000,42491
"Apple MacBook Pro 2015 Core-i5 8GB RAM 256GB SSD 13"" Retina Display",84999,81018
"Acer aspire 5733 Core-i3-1st Gen 4GB RAM 250GB HDD 15.6"" Display",17559,14265
"Apple MacBook Pro 2013 Core-i7 16 GB RAM 256 GB SSD Retina, 1GB Graphics Card 13"" Display Late",64999,60057
"Apple Macbook Pro 2012 Core-i7 16GB RAM 240GB SSD 13.3"" Silver Color Display Mid",50000,47025
"Apple MacBook Air (M2, 2022) 8GB RAM 256GB SSD 13.6"" Display",204950,201058
"Apple Macbook 13 Air 2020 M1 8GB RAM 256GB SSD 13"" Display",180000,175802
"Acer q5wph Aspire Intel Pentium 4 GB RAM 500 GB HDD 15.6"" Display",17431,14575
"Acer Aspire V Nitro (VN7-791) Intel Core i7-4720HQ 8GB RAM 256GB SSD NVIDIA GeForce GTX 960M (4GB GDDR5) 17.3"" Display",39999,36878
