Product Name,Old Price,New Price
"Apple MacBook Pro A1989 2019 Core-i5 16 GB RAM 512 GB SSD 13.3"" Display",175000,179895
"Acer Predator Helios 300 Core-i7-10th Gen 16GB RAM 512GB SSD NVIDIA RTX 2060 6GB Graphics Card 15.6"" Display",179999,184520
"Acer q5wph Aspire Intel Pentium 4 GB RAM 500 GB HDD 15.6"" Display",15000,18490
"Acer Aspire V5-471G Intel Core i5 3rd Gen -3337U 8GB RAM 500 GB HDD NVIDIA GeForce 710M 2GB Graphics Card Touch 14"" Display",24999,27929
"Apple MacBook Pro 2019 A2141 Core-i9 32 GB RAM 512 GB SSD AMD Radeon Pro 5500M 8GB Graphics Card 16"" Display",259999,263920
"Apple MacBook Pro 2016 Core-i7 16GB RAM 500GB SSD 13"" Display Space Gray",119999,122303
"Apple MacBook Air M2, A2941 2023 8 GB RAM 256 GB SSD 15"" Display",300000,302623
"Apple MacBook Pro 2015 Core-i5 8GB RAM 256GB SSD 13"" Retina Display",84999,89880
"Apple MacBook Pro 2013 Core-i7 16 GB RAM 256 GB SSD Retina, 1GB Graphics Card 13"" Display Late",64999,68852
"Apple MacBook Air (M2, 2022) 8GB RAM 256GB SSD 13.6"" Display",200000,204191
"Acer q5wph Aspire Intel Pentium 4 GB RAM 500 GB HDD 15.6"" Display",15000,19165
"Acer Nitro 5 AN515-51 Core-i5-7th Gen 7300HQ 16 GB RAM 256 GB SSD NVIDIA GeForce GTX 1050 4 GB CARD 15.6"" Display",109999,113710
"Acer Aspire E5-575G Core-i5-6th Gen 8GB RAM 256GB SSD 15.6"" Display",34999,38450
"Acer aspire 5733 Core-i3-1st Gen 4GB RAM 250GB HDD 15.6"" Display",12999,17559
"Apple MacBook Air (M2, 2022) 8GB RAM 256GB SSD 13.6"" Display",200000,204950
"Apple MacBook Pro 2019 A2141 Core-i9 32 GB RAM 512 GB SSD AMD Radeon Pro 5500M 8GB Graphics Card 16"" Display",259999,262308
"Apple MacBook Air A1932 2018 Core-i5 16GB RAM 500GB SSD 4GB Graphics Card Retina 13.3"" Display (Space Gray)",169999,174527
"Apple MacBook Pro 2018 A1990 Core-i7 16GB RAM 500GB SSD Radeon Pro 555X 4GB Card 16"" Display",169999,174216
"Acer q5wph Aspire Intel Pentium 4 GB RAM 500 GB HDD 15.6"" Display",15000,17431
"Acer TravelmateP259-G2-M Core-i5-7th Gen 8 GB RAM 256 GB SSD 15.6"" Display",39999,42462
"Acer Nitro V 15 ANV15 INTEL Core-i7-13th Gen 13620H 16GB RAM 512GB SSD 6GB NVIDIA GeForce RTX 4050 144Hz WINDOWS 11 15.6"" FHD Display",295000,299898
"Apple MacBook Pro A1989 2019 Core-i5 16 GB RAM 512 GB SSD 13.3"" Display",175000,178825
"Apple MacBook Pro 2015 Core-i5 8GB RAM 256GB SSD 13"" Retina Display",84999,88466
"Apple MacBook Pro 2017 Core-i7 16 GB RAM 256 GB SSD 2 GB AMD Radeon Pro 560 15"" Display",145000,149321
"Apple MacBook Air (M2, 2022) 8GB RAM 256GB SSD 13.6"" Display",200000,202420
"Acer q5wph Aspire Intel Pentium 4 GB RAM 500 GB HDD 15.6"" Display",15000,17748
"Acer Aspire 17 8943 Core-i5-1st Gen 4GB RAM 500GB HDD 1GB AMD 5000 Graphics Card 17"" Display",14999,17091
"Acer TravelmateP259-G2-M Core-i5-7th Gen 8 GB RAM 256 GB SSD 15.6"" Display",39999,44392
"Apple Macbook 13 Air 2020 M1 8GB RAM 256GB SSD 13"" Display",180000,182050
"Apple MacBook Air (M2, 2022) 8GB RAM 256GB SSD 13.6"" Display",200000,202913
"Apple MacBook Air MC8G4 M3 8-Core Chip 16GB RAM 256GB SSD 13.6"" Liquid Retina IPS LED Display 8-Core GPU Touch ID Space Gray (1 Year International Warranty)",302000,304014
"Apple MacBook Air M2, A2941 2023 8 GB RAM 256 GB SSD 15"" Display",300000,304173
"Apple MacBook Air MRXT3 M3 8-Core Chip (2024) 8GB RAM 256GB SSD 13.6"" IPS LED Display 8-Core GPU Touch ID Starlight (1 Year International Warranty) (On Order)",278000,281008
"Apple MacBook Air MC7X4 M2 8-Core Chip 16GB RAM 256GB SSD D 13.6"" Liquid Retina Display 8-Core GPU Touch ID Midnight (1 Year International Warranty)",265000,269454
"Apple MacBook Air MLXW3 M2 8-Core Chip 8GB RAM 256GB SSD 13.6"" Liquid Retina IPS LED Display 8-Core GPU Touch ID Space Grey (1 Year International Warranty) (On Order)",245000,247857
"Apple MacBook Air MLY13 M2 8-Core Chip 8GB RAM 256GB SSD 13.6"" Liquid Retina IPS LED Display 8-Core GPU Touch ID Starlight (1 Year International Warranty) (On Order)",245000,248031
"Apple MacBook Air MGN63 M1 8-Core Chip 8GB RAM 256GB SSD 13.3"" Liquid Retina IPS LED Display 7-Core GPU Touch ID Space grey (1 Year International Warranty)",205000,209861
"Apple MacBook Air MC8K4 M3 8-Core Chip 16GB RAM 256GB SSD 13.6"" Liquid Retina IPS LED Display 8-Core GPU Midnight (1 Year International Warranty) (On Order)",303000,307270
"Apple MacBook Air MXCT3 M3 8-Core Chip 16GB RAM 512GB SSD 13.6"" Liquid Retina Display 10-Core GPU Touch ID Silver (1 Year International Warranty) (On Order)",388000,392657
"Apple MacBook Air MRYV3 M3 8-Core Chip 8GB RAM 512GB SSD 15.3"" Liquid Retina display 10-Core GPU Touch ID Midnight (1 Year International Warranty) (On Order)",393000,396797
"Apple MacBook Air MRXW3 M3 8-Core Chip 8GB RAM 512GB SSD 13.6"" Liquid Retina Display 10-Core GPU Touch ID Midnight (1 Year International Warranty) (On Order)",345000,348954
"Apple MacBook Air MC7W4 M2 8-Core Chip 16GB RAM 256GB SSD 13.6"" Liquid Retina Display 8-Core GPU StarLight (1 Year International Warranty) (On Order)",263000,267542
"Apple MacBook Pro 2017 Core-i7 16 GB RAM 256 GB SSD 2 GB AMD Radeon Pro 560 15"" Display",145000,149105
"Apple MacBook Pro 2019 Core-i9 32 GB RAM 1 TB SSD 4 GB Radeon Pro 555X Touch Bar15"" Display",260000,262312
"Apple MacBook Pro 2017 Core-i7 16GB RAM 500GB SSD Radeon Pro 560 4GB Graphics Card 16"" Display",229999,232128
"Apple MacBook Pro MTL73-M3 8-Core Chip (2023) 8GB RAM 512GB SSD 14"" Retina Display 10-Core GPU Touch ID Space Grey (1 Year International Warranty) (On Order)",388000,392329
"Apple MacBook Pro MPHG3 M2 Max 12-Core Chip (2023) 32GB RAM 1TB SSD 14"" Liquid Retina XDR Display 30-Core GPU Touch ID Space Gray (1 Year International Warranty)",770000,772887
"Apple MacBook Pro MNWA3 M2 Max 12-Core Chip (2022) 32GB RAM 1TB SSD 16"" Liquid Retina XDR Display 38-Core GPU Touch ID Space Grey (1 Year International Warranty) (On Order)",805000,807773
"Apple MacBook Pro A2251 2020 Core-i5 16 GB RAM 500 GB HDD 13.3"" Display",180000,183216
"Apple MacBook Pro A2141 2019 Core-i9 32 GB RAM 1 TB SSD Radeon Pro 555X 4GB Card 15"" Display",259999,263367
"Apple MacBook Pro MX2X3 M4 Pro 14-Core Chip 24GB RAM 512GB SSD 16"" Liquid Retina XDR display 20-Core GPU Space Black (1 Year International Warranty) (On Order)",685000,687791
"Apple MacBook Pro MX2Y3 M4 Pro 14-Core Chip 48GB RAM 512GB SSD 16"" Liquid Retina XDR display 20-Core GPU Space Black (1 Year International Warranty) (On Order)",790000,792730
"Asus Q551LB Core-i7-5th Gen 8 GB RAM 256 GB SSD 2 GB Nvidia GTX 940M Graphics Card Touchscreen x360 15.6"" Display",40000,43728
